               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10643,            0.019494,            0.028415,          0.00054629,             0.43221,           0.0057585,           0.0013385,            0.065476,            0.015143,            0.017296,           0.0033067,           0.0033067,             0.07024
                   1,            0.094122,            0.017065,            0.025625,          5.9834e-06,           0.0067568,          0.00048369,          0.00019348,            0.057073,            0.012139,            0.017209,           0.0066101,           0.0066101,             0.04021
                   2,            0.091172,             0.01544,            0.024469,          0.00025244,             0.22536,           0.0016231,          0.00022984,            0.059441,            0.010511,            0.015773,           0.0098836,           0.0098836,             0.01015
                   3,            0.086734,             0.01571,             0.02369,          0.00012872,             0.14368,          9.1669e-05,           1.493e-05,            0.057588,            0.011135,            0.016416,            0.009865,            0.009865,            0.009865
                   4,            0.085247,            0.015432,            0.023555,          0.00044139,             0.41653,          0.00064491,          0.00026095,            0.054474,             0.01207,             0.01634,            0.009865,            0.009865,            0.009865
                   5,            0.083338,            0.016037,            0.023342,          0.00088165,              0.4164,           0.0076217,           0.0011383,            0.058104,            0.011686,            0.015772,             0.00982,             0.00982,             0.00982
                   6,            0.079144,            0.016692,            0.022742,           0.0012209,             0.52903,           0.0013707,          0.00034951,             0.05773,            0.011757,            0.015523,            0.009775,            0.009775,            0.009775
                   7,            0.077136,             0.01583,            0.022343,           0.0014352,             0.66544,            0.010016,           0.0031937,            0.054898,             0.01246,            0.014782,             0.00973,             0.00973,             0.00973
                   8,            0.074711,            0.016397,            0.021562,              0.5192,             0.14428,             0.01775,           0.0069376,            0.048686,            0.013397,            0.016283,            0.009685,            0.009685,            0.009685
                   9,            0.073536,            0.015304,            0.021412,           0.0051554,             0.16216,            0.017996,            0.005369,            0.055116,            0.013062,            0.014776,             0.00964,             0.00964,             0.00964
                  10,            0.069814,            0.015893,            0.020631,           0.0020667,             0.72083,            0.030822,             0.01453,            0.051444,            0.012901,            0.014069,            0.009595,            0.009595,            0.009595
                  11,            0.068786,            0.016138,            0.020566,          0.00094685,             0.39921,           0.0022781,          0.00038796,            0.059682,            0.011215,            0.014128,             0.00955,             0.00955,             0.00955
                  12,            0.067952,            0.015678,            0.020085,             0.52014,             0.23708,            0.040321,           0.0080576,              0.0528,            0.012554,            0.014303,            0.009505,            0.009505,            0.009505
                  13,            0.065385,            0.015852,            0.019519,           0.0059813,             0.43121,            0.025662,           0.0069524,            0.051927,            0.011517,             0.01449,             0.00946,             0.00946,             0.00946
                  14,            0.063768,            0.015681,            0.018901,            0.024077,             0.49889,            0.026614,           0.0057604,            0.049596,            0.011468,            0.013199,            0.009415,            0.009415,            0.009415
                  15,            0.062816,            0.015098,            0.018813,             0.13053,             0.10058,             0.10166,            0.017201,            0.049581,            0.010956,            0.013138,             0.00937,             0.00937,             0.00937
                  16,            0.061515,            0.015027,            0.017883,            0.037744,             0.15397,            0.067646,            0.015228,            0.043658,            0.011736,            0.012583,            0.009325,            0.009325,            0.009325
                  17,            0.059055,            0.014941,            0.016697,            0.099242,             0.30813,             0.13393,             0.05548,            0.043754,            0.011924,            0.012727,             0.00928,             0.00928,             0.00928
                  18,            0.058509,            0.014582,            0.016328,             0.56758,            0.070833,            0.049265,             0.01609,            0.041251,            0.011722,            0.012511,            0.009235,            0.009235,            0.009235
                  19,            0.056611,            0.014438,            0.015222,              0.1158,             0.10608,             0.11278,            0.029207,            0.042988,            0.011378,            0.012076,             0.00919,             0.00919,             0.00919
                  20,            0.054885,            0.013398,             0.01419,             0.15226,            0.094257,             0.13835,            0.036401,             0.04491,            0.010514,            0.010804,            0.009145,            0.009145,            0.009145
                  21,            0.055323,            0.014268,            0.013195,             0.34978,             0.13378,             0.14176,            0.051319,            0.038437,            0.010822,             0.00944,              0.0091,              0.0091,              0.0091
                  22,            0.054044,            0.013786,            0.012912,            0.099202,             0.32549,             0.12831,            0.054219,              0.0419,            0.010356,            0.011243,            0.009055,            0.009055,            0.009055
                  23,            0.054275,            0.013718,            0.012132,             0.18586,              0.4984,             0.19321,            0.093337,            0.042282,            0.010666,           0.0091237,             0.00901,             0.00901,             0.00901
                  24,            0.052167,            0.013791,            0.010982,             0.39423,            0.079554,             0.12178,            0.034343,              0.0504,            0.010795,            0.010024,            0.008965,            0.008965,            0.008965
                  25,            0.050061,            0.013592,            0.009969,             0.22425,             0.59343,             0.30247,             0.13772,            0.038336,            0.011188,           0.0067107,             0.00892,             0.00892,             0.00892
                  26,            0.050002,             0.01325,           0.0092406,              0.1351,             0.28761,             0.14722,            0.036086,            0.046188,           0.0098174,           0.0097159,            0.008875,            0.008875,            0.008875
                  27,            0.046598,            0.012815,           0.0086159,             0.47235,             0.18507,             0.13897,              0.0352,            0.046714,              0.0105,            0.013711,             0.00883,             0.00883,             0.00883
                  28,            0.047318,            0.012756,           0.0082639,            0.076616,                0.15,              0.1623,            0.054243,            0.042687,            0.010253,           0.0084321,            0.008785,            0.008785,            0.008785
                  29,            0.046169,            0.012312,           0.0078406,             0.14617,             0.25203,             0.15599,            0.065348,            0.039495,            0.011739,           0.0072602,             0.00874,             0.00874,             0.00874
                  30,            0.045811,             0.01241,           0.0073799,              0.1992,             0.33086,             0.20495,            0.088003,            0.041998,            0.010772,           0.0092653,            0.008695,            0.008695,            0.008695
                  31,            0.045775,            0.011874,             0.00759,             0.16813,             0.27995,             0.17738,            0.064199,            0.039302,            0.010347,           0.0097378,             0.00865,             0.00865,             0.00865
                  32,            0.044745,            0.011925,           0.0067454,             0.17726,             0.36395,             0.29732,             0.11187,            0.039743,           0.0098768,           0.0048259,            0.008605,            0.008605,            0.008605
                  33,            0.042514,            0.011921,           0.0065896,             0.67599,             0.12733,             0.14924,            0.041113,            0.044727,            0.010271,           0.0062065,             0.00856,             0.00856,             0.00856
                  34,             0.04247,             0.01196,           0.0063718,             0.21853,             0.28521,             0.24232,            0.084832,            0.038168,            0.011359,           0.0067846,            0.008515,            0.008515,            0.008515
                  35,            0.042552,            0.011576,           0.0059499,             0.35614,             0.32291,             0.33459,             0.12935,            0.035081,             0.01137,           0.0070807,             0.00847,             0.00847,             0.00847
                  36,            0.040317,            0.011264,           0.0057444,             0.24272,             0.44287,             0.29181,             0.12286,            0.037613,            0.010149,           0.0053789,            0.008425,            0.008425,            0.008425
                  37,            0.040553,            0.011276,           0.0057595,              0.4171,             0.28272,              0.2143,            0.089771,            0.039336,            0.011443,           0.0087205,             0.00838,             0.00838,             0.00838
                  38,            0.040548,            0.011467,           0.0057492,             0.13418,             0.26543,               0.205,            0.064551,             0.03797,            0.010882,           0.0071956,            0.008335,            0.008335,            0.008335
                  39,            0.041331,            0.011252,           0.0055998,             0.21218,             0.45928,             0.29591,            0.089802,              0.0402,           0.0099984,           0.0047538,             0.00829,             0.00829,             0.00829
                  40,            0.038557,            0.011327,           0.0056579,             0.73979,             0.29082,             0.38749,              0.1493,            0.033755,           0.0099563,           0.0072939,            0.008245,            0.008245,            0.008245
                  41,            0.037734,            0.010881,           0.0048261,             0.47786,             0.21051,             0.18816,            0.082801,            0.037702,            0.011667,           0.0097012,              0.0082,              0.0082,              0.0082
                  42,            0.038183,            0.010905,           0.0052804,              0.6573,             0.13333,             0.14505,            0.046646,            0.037794,            0.011519,           0.0087093,            0.008155,            0.008155,            0.008155
                  43,            0.037624,            0.010971,            0.004957,             0.69842,             0.21667,             0.26254,            0.091583,            0.036636,             0.01108,           0.0052897,             0.00811,             0.00811,             0.00811
                  44,            0.037525,            0.010698,           0.0042823,             0.28138,             0.37034,             0.30521,            0.079667,            0.038886,           0.0099512,           0.0054154,            0.008065,            0.008065,            0.008065
                  45,            0.036521,             0.01028,           0.0044638,             0.64695,             0.38374,             0.48786,             0.19466,             0.03744,            0.010288,           0.0051779,             0.00802,             0.00802,             0.00802
                  46,            0.036013,            0.010342,           0.0043256,             0.26495,             0.30825,             0.38398,             0.12305,            0.038617,            0.009855,           0.0042874,            0.007975,            0.007975,            0.007975
                  47,            0.035776,            0.010343,           0.0044894,             0.53465,              0.1036,             0.17192,             0.06943,            0.041391,            0.012518,            0.016891,             0.00793,             0.00793,             0.00793
                  48,            0.035985,            0.010628,           0.0047702,             0.56185,             0.23452,             0.22993,             0.10386,            0.039372,            0.011523,           0.0095947,            0.007885,            0.007885,            0.007885
                  49,            0.036567,            0.010511,            0.004571,             0.09765,            0.097251,            0.099454,            0.035175,            0.048704,            0.012405,            0.011211,             0.00784,             0.00784,             0.00784
                  50,            0.037646,            0.010598,           0.0051264,              0.5195,             0.48143,             0.52395,             0.25491,            0.036187,            0.010841,           0.0055013,            0.007795,            0.007795,            0.007795
                  51,            0.035905,            0.010033,           0.0042314,              0.2227,             0.37309,             0.31163,              0.1148,            0.039215,            0.010594,           0.0059557,             0.00775,             0.00775,             0.00775
                  52,            0.034856,            0.010215,            0.004071,             0.35396,             0.28644,             0.26392,             0.10145,            0.037464,            0.011371,           0.0072264,            0.007705,            0.007705,            0.007705
                  53,            0.035231,            0.010562,           0.0047465,             0.23032,             0.46255,             0.42167,             0.18026,            0.036386,            0.010845,           0.0054699,             0.00766,             0.00766,             0.00766
                  54,            0.034002,            0.010037,           0.0041392,             0.62864,             0.49674,             0.54242,             0.23432,            0.036731,            0.010566,           0.0046945,            0.007615,            0.007615,            0.007615
                  55,            0.033744,           0.0099411,           0.0042469,              0.2634,              0.5268,              0.2938,             0.11201,            0.037146,            0.011056,           0.0077672,             0.00757,             0.00757,             0.00757
                  56,            0.035307,            0.010727,           0.0046862,            0.010833,             0.47827,            0.031243,            0.009494,            0.058794,            0.012058,            0.025184,            0.007525,            0.007525,            0.007525
                  57,            0.035803,            0.010794,            0.004555,              0.4041,             0.48097,             0.47666,             0.21893,              0.0372,           0.0098464,           0.0055113,             0.00748,             0.00748,             0.00748
                  58,            0.034472,            0.010511,             0.00446,             0.64335,             0.18333,             0.16741,              0.0496,            0.037561,            0.010592,           0.0071651,            0.007435,            0.007435,            0.007435
                  59,            0.034355,            0.010216,            0.003999,             0.41432,             0.16185,             0.20124,            0.068893,            0.033814,            0.011601,           0.0072705,             0.00739,             0.00739,             0.00739
                  60,            0.034015,            0.010213,           0.0039497,             0.39941,             0.35073,             0.38982,             0.16205,            0.034707,            0.010966,           0.0048542,            0.007345,            0.007345,            0.007345
                  61,            0.031818,           0.0095908,           0.0033334,             0.53242,             0.55356,             0.61944,             0.27352,            0.034546,           0.0094692,           0.0045914,              0.0073,              0.0073,              0.0073
                  62,            0.032066,           0.0097514,           0.0037293,             0.46941,             0.53308,              0.5237,             0.21519,            0.033379,            0.010416,           0.0052514,            0.007255,            0.007255,            0.007255
                  63,            0.032466,           0.0097922,           0.0037617,             0.40639,             0.46378,             0.41127,             0.19013,            0.039562,            0.011027,           0.0052395,             0.00721,             0.00721,             0.00721
                  64,            0.031948,           0.0099105,           0.0034868,             0.77834,             0.45809,             0.53852,             0.19002,            0.037311,           0.0095075,           0.0036105,            0.007165,            0.007165,            0.007165
                  65,            0.030758,           0.0096392,           0.0032532,             0.64452,             0.60054,             0.61909,              0.2712,            0.035253,            0.010165,           0.0041176,             0.00712,             0.00712,             0.00712
                  66,            0.031795,           0.0093325,           0.0035295,             0.62523,             0.44914,             0.53602,             0.19216,             0.03739,            0.010871,           0.0041831,            0.007075,            0.007075,            0.007075
                  67,            0.030757,           0.0089284,           0.0031395,             0.44383,             0.40628,             0.48898,             0.21408,            0.035579,            0.010888,           0.0050037,             0.00703,             0.00703,             0.00703
