               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098357,             0.02003,            0.025534,          0.00042263,             0.19167,          0.00034677,          8.6743e-05,                 nan,                 nan,                 nan,           0.0032804,           0.0032804,            0.070476
                   1,            0.086775,            0.015944,            0.022897,          0.00035445,             0.24818,          0.00031736,          0.00017551,             0.08825,             0.22036,             0.13663,            0.006584,            0.006584,            0.040446
                   2,            0.080884,            0.014638,            0.022199,           0.0027236,              0.6125,            0.010863,           0.0032079,            0.049339,           0.0099127,            0.014917,           0.0098576,           0.0098576,            0.010387
                   3,            0.078567,            0.014968,            0.021229,          0.00036714,             0.15101,          0.00029363,          5.8775e-05,            0.068308,            0.016998,            0.015509,            0.009865,            0.009865,            0.009865
                   4,            0.076995,             0.01523,            0.020783,           0.0019774,             0.79381,            0.006304,            0.001514,            0.049911,            0.010215,            0.013654,            0.009865,            0.009865,            0.009865
                   5,            0.074696,            0.014809,            0.020484,           0.0021067,              0.5375,            0.017025,           0.0053939,            0.046169,           0.0092702,            0.016522,             0.00982,             0.00982,             0.00982
                   6,            0.073155,            0.015141,             0.01974,           0.0014035,             0.55484,           0.0020747,          0.00059507,            0.053473,           0.0096877,            0.017894,            0.009775,            0.009775,            0.009775
                   7,            0.071989,            0.014723,             0.01938,            0.014754,             0.16445,              0.0266,           0.0099448,            0.047532,             0.01163,            0.014017,             0.00973,             0.00973,             0.00973
                   8,            0.069541,            0.014576,             0.01897,           0.0013136,             0.63232,             0.01251,           0.0041066,            0.056408,            0.011518,            0.014572,            0.009685,            0.009685,            0.009685
                   9,            0.068905,            0.014641,             0.01866,             0.28008,              0.0375,             0.01635,           0.0027647,            0.057055,           0.0089749,            0.015832,             0.00964,             0.00964,             0.00964
                  10,            0.065986,            0.014963,            0.017307,             0.79215,            0.060006,            0.048022,           0.0099196,            0.050432,            0.013605,            0.011711,            0.009595,            0.009595,            0.009595
