               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096089,            0.018906,            0.025173,          7.2943e-05,            0.036169,          4.1801e-05,          5.8303e-06,            0.074867,            0.006189,             0.18108,           0.0032804,           0.0032804,            0.070476
                   1,            0.086052,            0.014586,            0.023075,          0.00038204,             0.35692,           0.0003454,          7.5922e-05,            0.064358,            0.012932,            0.019175,            0.006584,            0.006584,            0.040446
                   2,            0.080602,            0.014788,            0.022558,          9.4426e-05,                0.05,          5.7879e-05,          1.2271e-05,             0.06978,            0.020241,            0.016708,           0.0098576,           0.0098576,            0.010387
                   3,            0.077831,            0.015286,             0.02141,             0.55506,             0.19196,             0.12429,            0.037145,            0.053428,            0.014398,            0.014589,            0.009865,            0.009865,            0.009865
                   4,            0.076654,            0.015243,            0.020772,           0.0028032,             0.25079,           0.0038547,           0.0017364,            0.057282,            0.016553,            0.013288,            0.009865,            0.009865,            0.009865
                   5,            0.074413,            0.014912,            0.020554,             0.35747,             0.16216,            0.086081,            0.033996,            0.059353,            0.013879,            0.014789,             0.00982,             0.00982,             0.00982
                   6,            0.072994,            0.015536,            0.020027,           0.0017484,              0.7375,            0.085341,            0.022017,            0.045324,            0.010479,             0.01503,            0.009775,            0.009775,            0.009775
                   7,            0.072444,            0.015187,            0.019805,             0.54906,             0.29432,            0.069375,            0.030664,            0.047276,            0.011174,            0.012376,             0.00973,             0.00973,             0.00973
                   8,            0.069368,               0.015,            0.019393,           0.0022433,             0.70613,            0.074396,            0.024293,            0.045296,            0.010316,            0.012525,            0.009685,            0.009685,            0.009685
                   9,            0.069558,            0.015261,            0.019592,             0.26363,                 0.5,             0.07079,            0.021989,            0.047311,            0.010933,            0.014165,             0.00964,             0.00964,             0.00964
                  10,            0.067585,            0.015453,              0.0188,            0.002417,             0.82917,            0.010905,            0.003312,            0.045155,             0.01074,            0.011805,            0.009595,            0.009595,            0.009595
                  11,             0.06672,            0.015096,            0.018398,            0.011466,             0.22415,            0.014621,            0.005117,            0.044853,            0.011312,             0.01119,             0.00955,             0.00955,             0.00955
                  12,            0.065155,            0.014059,              0.0183,             0.80662,            0.029412,            0.035019,            0.010844,            0.045502,             0.01031,            0.014121,            0.009505,            0.009505,            0.009505
                  13,            0.066117,            0.014599,            0.017428,            0.014941,             0.45463,            0.037114,            0.013424,             0.05177,            0.010345,            0.014346,             0.00946,             0.00946,             0.00946
                  14,            0.065797,            0.014183,             0.01726,           0.0040809,             0.72073,            0.019248,           0.0050266,            0.047889,            0.010816,             0.01187,            0.009415,            0.009415,            0.009415
                  15,            0.063359,            0.014025,            0.016197,             0.31554,             0.40918,            0.083763,            0.031462,            0.043953,           0.0099529,            0.013045,             0.00937,             0.00937,             0.00937
                  16,            0.063018,            0.013406,            0.015524,             0.86914,            0.066667,             0.12379,            0.032153,            0.045683,            0.010064,            0.011013,            0.009325,            0.009325,            0.009325
                  17,             0.06323,            0.013532,             0.01535,             0.22064,             0.42247,             0.19709,            0.076951,            0.044197,           0.0097991,            0.010904,             0.00928,             0.00928,             0.00928
                  18,            0.061073,            0.013689,            0.014192,             0.18638,             0.35554,             0.17477,             0.07301,            0.040217,             0.01131,            0.010727,            0.009235,            0.009235,            0.009235
                  19,            0.058934,             0.01364,            0.013486,             0.48369,             0.25627,             0.19516,            0.072081,            0.044322,            0.010331,            0.011203,             0.00919,             0.00919,             0.00919
                  20,            0.058617,            0.013354,            0.013417,             0.11855,             0.31023,             0.19194,             0.06872,            0.042585,           0.0090711,            0.010779,            0.009145,            0.009145,            0.009145
                  21,            0.056994,            0.013214,            0.012562,             0.11151,             0.31465,             0.15263,            0.063541,            0.041296,            0.010373,           0.0098846,              0.0091,              0.0091,              0.0091
                  22,            0.056581,            0.013143,            0.012716,             0.10245,             0.44075,             0.14275,            0.040235,            0.041338,            0.012816,            0.013733,            0.009055,            0.009055,            0.009055
                  23,            0.055712,             0.01291,            0.012076,             0.35933,              0.2709,            0.089898,            0.032961,            0.041247,           0.0090856,            0.012649,             0.00901,             0.00901,             0.00901
                  24,            0.057462,            0.012976,            0.013034,             0.58112,             0.13435,             0.10396,            0.030044,            0.040969,           0.0097033,            0.010614,            0.008965,            0.008965,            0.008965
                  25,            0.055268,            0.012925,            0.012074,             0.12731,             0.25541,             0.14115,            0.052812,             0.04049,           0.0096533,            0.013503,             0.00892,             0.00892,             0.00892
                  26,            0.052954,            0.012374,            0.010795,             0.10791,             0.32207,             0.21375,            0.083448,            0.042211,             0.01048,            0.010027,            0.008875,            0.008875,            0.008875
                  27,            0.053927,            0.012112,            0.010846,             0.18777,             0.28874,             0.15678,            0.055067,            0.038861,           0.0083112,            0.012299,             0.00883,             0.00883,             0.00883
                  28,            0.052894,            0.012228,            0.010607,             0.68199,             0.20495,             0.14803,            0.043177,            0.043781,            0.010563,           0.0096544,            0.008785,            0.008785,            0.008785
                  29,            0.053333,            0.012663,            0.010834,             0.10186,             0.10417,            0.080643,            0.024123,            0.043716,           0.0096107,             0.01079,             0.00874,             0.00874,             0.00874
                  30,            0.051797,            0.011766,           0.0097336,            0.096417,             0.34921,             0.15142,            0.053767,            0.039132,            0.010519,            0.011998,            0.008695,            0.008695,            0.008695
                  31,             0.05172,             0.01256,            0.010338,             0.88128,             0.11667,             0.14014,            0.058431,            0.043326,            0.013309,            0.012255,             0.00865,             0.00865,             0.00865
                  32,            0.051281,             0.01201,           0.0097381,            0.093823,              0.2706,             0.15469,            0.059994,            0.038832,           0.0094827,           0.0093561,            0.008605,            0.008605,            0.008605
                  33,            0.051322,            0.012023,           0.0097503,             0.49032,             0.27005,             0.20192,            0.070404,            0.037184,           0.0082404,             0.01086,             0.00856,             0.00856,             0.00856
                  34,            0.050914,            0.012203,           0.0091155,             0.18537,             0.35327,             0.20325,            0.069506,            0.036923,           0.0092478,            0.009312,            0.008515,            0.008515,            0.008515
                  35,            0.048957,            0.012426,           0.0089201,             0.31382,             0.55599,             0.38308,             0.17712,            0.036727,           0.0093051,           0.0086778,             0.00847,             0.00847,             0.00847
                  36,            0.048172,            0.011581,           0.0085277,             0.20583,             0.24043,             0.21637,            0.077986,            0.035841,           0.0083272,           0.0072944,            0.008425,            0.008425,            0.008425
                  37,            0.049046,            0.012006,           0.0086266,             0.33232,             0.61328,             0.39027,             0.17194,            0.035726,           0.0082672,           0.0084964,             0.00838,             0.00838,             0.00838
                  38,            0.047003,            0.011307,           0.0077786,             0.17312,             0.32218,             0.24239,            0.097675,             0.03545,            0.010266,           0.0066342,            0.008335,            0.008335,            0.008335
                  39,             0.04745,            0.011036,           0.0076699,             0.34813,              0.3482,             0.15774,             0.05762,            0.039101,            0.011581,             0.01502,             0.00829,             0.00829,             0.00829
                  40,            0.047041,            0.011249,           0.0076805,             0.44303,             0.29245,             0.27557,             0.10592,            0.037273,           0.0092423,            0.008505,            0.008245,            0.008245,            0.008245
                  41,            0.046624,            0.011456,           0.0078714,             0.20406,             0.35338,             0.22683,            0.098542,            0.038086,           0.0086274,           0.0090303,              0.0082,              0.0082,              0.0082
                  42,            0.045139,            0.010905,           0.0071376,             0.19964,             0.34696,              0.1772,            0.066836,            0.039542,           0.0089827,            0.011142,            0.008155,            0.008155,            0.008155
                  43,            0.046217,            0.010945,           0.0074322,             0.20433,             0.27477,             0.22082,            0.094966,            0.041112,           0.0090956,           0.0078515,             0.00811,             0.00811,             0.00811
                  44,            0.045349,            0.011486,           0.0063989,             0.51574,             0.30236,             0.34558,             0.12758,            0.038411,           0.0087775,           0.0086809,            0.008065,            0.008065,            0.008065
                  45,              0.0461,            0.010781,           0.0065802,              0.1256,             0.41535,             0.21196,            0.085298,            0.034831,           0.0099308,           0.0087095,             0.00802,             0.00802,             0.00802
                  46,            0.045091,            0.010653,           0.0067427,             0.22716,             0.47874,             0.31885,             0.12315,            0.035395,           0.0090735,           0.0060865,            0.007975,            0.007975,            0.007975
                  47,             0.04433,            0.010902,           0.0066616,             0.79126,             0.17311,             0.31244,             0.12154,             0.03402,           0.0092948,           0.0066628,             0.00793,             0.00793,             0.00793
                  48,            0.043666,            0.010733,           0.0057954,             0.15047,             0.33255,             0.20133,            0.077466,            0.037953,           0.0093955,           0.0092604,            0.007885,            0.007885,            0.007885
                  49,            0.042979,            0.010825,            0.005625,             0.19944,             0.42353,             0.18677,            0.070777,             0.03646,           0.0094705,           0.0094783,             0.00784,             0.00784,             0.00784
                  50,            0.042723,            0.010671,           0.0052923,             0.18195,             0.25802,             0.16085,            0.052586,            0.041037,            0.009083,           0.0089851,            0.007795,            0.007795,            0.007795
                  51,             0.04313,             0.01045,           0.0056307,             0.36899,             0.29156,             0.27479,            0.091411,            0.040001,           0.0085184,           0.0091363,             0.00775,             0.00775,             0.00775
