               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10461,            0.020201,            0.026348,           0.0010824,              0.5125,           0.0051813,           0.0014624,            0.089332,            0.016975,            0.021959,              0.0031,              0.0031,              0.0721
                   1,             0.10119,            0.020208,            0.026338,           0.0010817,             0.50833,            0.011495,           0.0027538,            0.087671,            0.016692,            0.021924,           0.0062717,           0.0062717,            0.043272
                   2,            0.093578,            0.020732,            0.025706,           0.0018742,             0.11324,           0.0028481,          0.00093751,              0.0907,             0.28391,            0.041705,           0.0094145,           0.0094145,            0.014414
                   3,            0.085252,            0.021239,            0.023971,           0.0037799,             0.45282,           0.0046659,           0.0020014,            0.079578,             0.32391,            0.093273,            0.009865,            0.009865,            0.009865
                   4,            0.079409,            0.020821,            0.022294,             0.25589,             0.29491,            0.010525,           0.0036158,            0.059923,            0.020644,            0.020459,            0.009865,            0.009865,            0.009865
                   5,            0.072852,            0.020529,            0.020796,             0.40494,             0.45049,            0.040459,            0.010468,            0.063403,             0.02202,            0.023747,             0.00982,             0.00982,             0.00982
                   6,            0.069101,            0.020412,            0.019543,              0.2543,            0.016667,           0.0037937,          0.00090747,            0.065042,            0.018665,            0.016516,            0.009775,            0.009775,            0.009775
                   7,            0.066484,            0.018976,            0.018746,             0.32204,              0.1299,            0.061275,             0.01561,            0.047729,            0.016078,             0.01668,             0.00973,             0.00973,             0.00973
                   8,            0.062824,            0.018116,            0.017791,             0.12552,             0.37353,               0.174,            0.059718,            0.050287,            0.013104,            0.016226,            0.009685,            0.009685,            0.009685
                   9,            0.062146,            0.017171,            0.016844,              0.5824,             0.13333,             0.11557,            0.031186,             0.04429,            0.012613,            0.014456,             0.00964,             0.00964,             0.00964
                  10,            0.059194,            0.016645,             0.01589,             0.21935,              0.3486,             0.23362,            0.079773,             0.04919,            0.011057,            0.013154,            0.009595,            0.009595,            0.009595
                  11,            0.056295,            0.015715,            0.014664,             0.39199,             0.16092,             0.10364,            0.021753,            0.050449,            0.011872,            0.013253,             0.00955,             0.00955,             0.00955
                  12,            0.056532,            0.014712,            0.013951,             0.14942,             0.16182,              0.1723,            0.071561,            0.053621,            0.010926,            0.015404,            0.009505,            0.009505,            0.009505
                  13,            0.055215,            0.014751,             0.01295,             0.80431,               0.075,            0.057518,            0.016167,            0.053949,            0.012343,            0.016663,             0.00946,             0.00946,             0.00946
                  14,            0.054022,            0.014189,            0.012429,             0.29364,             0.36201,             0.34724,             0.17285,            0.044294,            0.010461,            0.012992,            0.009415,            0.009415,            0.009415
                  15,            0.052416,            0.013239,            0.011558,             0.58891,              0.1875,             0.12304,            0.034388,            0.048823,           0.0092298,            0.015764,             0.00937,             0.00937,             0.00937
                  16,            0.052893,            0.013363,            0.010892,            0.082834,             0.39105,             0.16042,            0.054629,            0.044847,            0.010977,            0.011971,            0.009325,            0.009325,            0.009325
                  17,            0.050949,            0.012474,           0.0097102,             0.75159,             0.11969,             0.22986,            0.053671,            0.048189,              0.0108,             0.01141,             0.00928,             0.00928,             0.00928
                  18,            0.049805,            0.012655,           0.0085251,             0.36592,             0.43563,             0.39825,             0.14073,            0.042825,           0.0090258,            0.013411,            0.009235,            0.009235,            0.009235
                  19,            0.048539,            0.011947,           0.0082349,              0.4711,             0.50325,             0.50801,             0.19211,              0.0443,           0.0089879,           0.0072818,             0.00919,             0.00919,             0.00919
                  20,            0.047709,            0.011904,           0.0079136,              0.1543,              0.5225,             0.35546,             0.12371,            0.043294,           0.0093028,           0.0089473,            0.009145,            0.009145,            0.009145
                  21,            0.046156,            0.011554,           0.0070946,             0.72983,             0.13394,             0.20462,             0.06643,             0.04586,            0.010405,            0.011296,              0.0091,              0.0091,              0.0091
                  22,            0.046728,            0.011497,           0.0067406,             0.33224,             0.41387,             0.32249,             0.10653,            0.048868,           0.0099308,            0.011751,            0.009055,            0.009055,            0.009055
                  23,             0.04559,            0.011197,            0.006428,              0.5576,             0.67935,             0.62925,             0.23903,            0.040522,           0.0076963,           0.0047335,             0.00901,             0.00901,             0.00901
                  24,            0.046138,            0.011707,           0.0062673,             0.53195,             0.53264,             0.51331,             0.16189,            0.043624,           0.0083839,            0.015324,            0.008965,            0.008965,            0.008965
                  25,            0.043817,            0.010927,           0.0053292,             0.52813,             0.69455,             0.62572,               0.183,            0.039962,           0.0083784,            0.005414,             0.00892,             0.00892,             0.00892
                  26,             0.04456,            0.010616,           0.0054098,             0.69603,             0.45902,             0.55852,             0.20693,            0.040032,           0.0087266,            0.010594,            0.008875,            0.008875,            0.008875
                  27,            0.044581,            0.010377,           0.0056264,              0.4449,              0.6618,             0.57032,              0.2602,            0.039082,           0.0082635,           0.0060685,             0.00883,             0.00883,             0.00883
                  28,            0.043319,            0.010596,           0.0052689,             0.63562,             0.58587,             0.59544,             0.20387,             0.03986,           0.0087394,           0.0051459,            0.008785,            0.008785,            0.008785
                  29,            0.041394,            0.010278,           0.0053242,             0.52524,              0.7088,             0.61028,             0.21975,            0.041367,            0.008247,           0.0052418,             0.00874,             0.00874,             0.00874
                  30,            0.041046,            0.010556,           0.0048806,             0.47055,             0.60519,             0.52491,              0.2544,            0.039602,           0.0082624,           0.0058834,            0.008695,            0.008695,            0.008695
                  31,             0.04258,            0.010089,           0.0049483,             0.47013,             0.48617,             0.53226,             0.19758,            0.040822,           0.0093174,            0.009057,             0.00865,             0.00865,             0.00865
                  32,            0.041598,            0.010382,           0.0048561,             0.62793,             0.56733,             0.52989,             0.19743,            0.043629,           0.0090962,           0.0058432,            0.008605,            0.008605,            0.008605
                  33,             0.04114,            0.010193,           0.0044286,             0.37154,             0.60516,             0.50722,             0.16818,            0.045328,           0.0085893,           0.0068122,             0.00856,             0.00856,             0.00856
                  34,            0.039112,           0.0099543,           0.0040438,             0.45697,             0.57612,             0.53446,             0.19799,            0.043605,           0.0079358,           0.0042746,            0.008515,            0.008515,            0.008515
                  35,            0.039878,           0.0099342,            0.004237,             0.44995,             0.63031,             0.56654,             0.18816,            0.042037,            0.008103,           0.0092692,             0.00847,             0.00847,             0.00847
                  36,            0.040857,            0.010142,           0.0041251,             0.66856,             0.44682,              0.4806,             0.16595,             0.04234,           0.0080338,           0.0087619,            0.008425,            0.008425,            0.008425
                  37,            0.037416,           0.0096537,           0.0039718,             0.26037,             0.51343,             0.41416,             0.16264,            0.040748,           0.0085197,           0.0069476,             0.00838,             0.00838,             0.00838
                  38,            0.039027,           0.0094126,           0.0039088,             0.35932,             0.51027,             0.45596,             0.12367,            0.050317,           0.0088955,            0.006089,            0.008335,            0.008335,            0.008335
                  39,            0.038077,           0.0093114,           0.0034307,              0.4791,             0.65006,             0.59593,             0.21655,             0.04059,           0.0078509,           0.0088782,             0.00829,             0.00829,             0.00829
                  40,             0.03833,           0.0095815,           0.0035656,             0.61339,             0.46892,             0.53564,             0.18808,            0.043606,           0.0080213,           0.0059164,            0.008245,            0.008245,            0.008245
                  41,            0.036132,             0.00948,           0.0036059,             0.49369,             0.74435,             0.61022,             0.22731,            0.040034,            0.008027,           0.0047834,              0.0082,              0.0082,              0.0082
                  42,            0.037359,           0.0093983,           0.0038689,             0.58367,             0.66367,             0.60084,             0.19926,            0.041878,           0.0082469,           0.0070262,            0.008155,            0.008155,            0.008155
                  43,            0.037031,           0.0094975,           0.0032028,             0.43128,             0.57207,              0.5682,              0.2384,            0.040109,           0.0082198,           0.0067544,             0.00811,             0.00811,             0.00811
                  44,            0.037061,            0.009314,           0.0040209,             0.52613,             0.57036,             0.54615,             0.19877,            0.047671,           0.0083144,           0.0049364,            0.008065,            0.008065,            0.008065
                  45,            0.036515,           0.0091392,           0.0035989,             0.62694,             0.66716,             0.64651,             0.24463,            0.039702,           0.0080481,            0.005867,             0.00802,             0.00802,             0.00802
                  46,            0.037024,           0.0089019,           0.0036711,             0.65508,             0.62031,             0.59673,             0.24509,            0.045907,           0.0076836,           0.0058556,            0.007975,            0.007975,            0.007975
                  47,            0.034976,           0.0091192,           0.0035122,              0.6139,             0.70049,             0.64991,             0.17883,            0.041772,           0.0078005,           0.0040645,             0.00793,             0.00793,             0.00793
                  48,            0.035527,           0.0090111,           0.0031706,             0.48974,             0.60539,             0.60036,             0.20943,            0.042308,           0.0080624,           0.0059068,            0.007885,            0.007885,            0.007885
                  49,            0.035254,            0.008996,           0.0033528,             0.85178,             0.48017,             0.56878,             0.21984,            0.039153,           0.0087673,           0.0057517,             0.00784,             0.00784,             0.00784
                  50,            0.034662,           0.0086097,           0.0031874,             0.80026,             0.32821,             0.47125,             0.16501,             0.04498,           0.0090144,           0.0064858,            0.007795,            0.007795,            0.007795
                  51,            0.034625,           0.0086474,           0.0033219,             0.59017,             0.63473,             0.61075,             0.24691,            0.041009,           0.0078034,           0.0047757,             0.00775,             0.00775,             0.00775
                  52,            0.035578,           0.0089936,           0.0032901,             0.53964,             0.49802,              0.5442,             0.20036,            0.041038,           0.0084272,           0.0067469,            0.007705,            0.007705,            0.007705
                  53,            0.034855,           0.0091196,           0.0032965,             0.43986,             0.66507,             0.63862,             0.22043,            0.042212,           0.0082293,           0.0060882,             0.00766,             0.00766,             0.00766
                  54,            0.034637,           0.0085168,           0.0028861,             0.55515,              0.4608,             0.59467,             0.23015,            0.040964,            0.008249,            0.010805,            0.007615,            0.007615,            0.007615
                  55,            0.034428,           0.0086001,           0.0030783,             0.61541,             0.56327,             0.64699,             0.25154,             0.03869,           0.0079287,           0.0061229,             0.00757,             0.00757,             0.00757
                  56,            0.033813,           0.0091018,           0.0032021,              0.5629,             0.64497,             0.65381,             0.23461,            0.041867,           0.0077276,           0.0037821,            0.007525,            0.007525,            0.007525
                  57,            0.033838,           0.0087957,            0.002763,             0.60821,              0.5848,             0.61161,             0.25532,            0.039072,           0.0077358,           0.0043843,             0.00748,             0.00748,             0.00748
                  58,             0.03312,           0.0083485,           0.0030722,             0.49222,             0.47039,             0.51694,             0.21485,            0.038427,            0.008483,           0.0039438,            0.007435,            0.007435,            0.007435
                  59,            0.034309,           0.0085715,           0.0030294,             0.79926,             0.47892,             0.48891,             0.16259,            0.042882,           0.0089577,           0.0062958,             0.00739,             0.00739,             0.00739
                  60,            0.033553,           0.0089822,           0.0026964,              0.5903,             0.46377,             0.60209,             0.21748,            0.043164,           0.0078164,           0.0048267,            0.007345,            0.007345,            0.007345
                  61,            0.032929,           0.0082084,           0.0027023,             0.76934,             0.57379,             0.64833,             0.24402,            0.039609,           0.0078329,           0.0041037,              0.0073,              0.0073,              0.0073
                  62,            0.031747,           0.0083205,           0.0026911,              0.6725,              0.6861,             0.65099,              0.2439,            0.038278,           0.0080309,            0.003195,            0.007255,            0.007255,            0.007255
                  63,            0.032743,           0.0081744,           0.0028217,             0.61247,              0.5979,              0.6038,             0.24585,            0.038973,           0.0078766,            0.003739,             0.00721,             0.00721,             0.00721
                  64,            0.032964,           0.0080942,           0.0028853,             0.69386,             0.49791,             0.64514,             0.25834,            0.039626,           0.0088435,           0.0036778,            0.007165,            0.007165,            0.007165
                  65,            0.031295,           0.0080903,             0.00276,             0.74973,             0.46475,             0.55681,             0.23399,            0.043593,           0.0080131,           0.0046527,             0.00712,             0.00712,             0.00712
                  66,            0.030654,           0.0081407,            0.002199,             0.71002,             0.66485,             0.68299,             0.29769,            0.037268,           0.0080394,           0.0031834,            0.007075,            0.007075,            0.007075
                  67,            0.031078,           0.0081871,           0.0028847,             0.59525,             0.46747,             0.48814,             0.18121,            0.041644,           0.0089581,           0.0036573,             0.00703,             0.00703,             0.00703
                  68,            0.031355,           0.0083014,            0.002801,             0.58058,             0.52946,             0.56009,             0.20645,            0.040973,           0.0087068,           0.0065941,            0.006985,            0.006985,            0.006985
                  69,            0.031277,           0.0078874,           0.0028103,              0.6927,             0.67282,             0.64387,             0.27691,            0.038884,           0.0081863,           0.0034664,             0.00694,             0.00694,             0.00694
                  70,            0.031316,           0.0082539,           0.0023386,             0.48962,             0.58389,             0.58827,             0.19239,            0.042049,           0.0084142,             0.01122,            0.006895,            0.006895,            0.006895
                  71,            0.031362,            0.008103,           0.0025759,             0.78854,             0.39337,             0.64769,             0.32962,            0.039394,           0.0082822,           0.0053504,             0.00685,             0.00685,             0.00685
                  72,              0.0297,           0.0078232,           0.0024243,             0.57422,             0.61078,             0.62695,             0.27013,            0.037396,           0.0083539,           0.0060247,            0.006805,            0.006805,            0.006805
                  73,            0.030147,           0.0077958,           0.0023751,             0.59856,             0.59566,             0.59338,             0.26294,            0.038357,           0.0085144,           0.0038798,             0.00676,             0.00676,             0.00676
                  74,            0.030259,           0.0081155,           0.0026638,             0.54024,             0.71302,             0.60434,             0.22755,            0.038794,           0.0081335,           0.0060677,            0.006715,            0.006715,            0.006715
                  75,             0.03024,           0.0081786,           0.0024349,             0.48753,             0.53452,             0.53553,             0.23679,            0.037579,           0.0085511,           0.0047289,             0.00667,             0.00667,             0.00667
                  76,            0.031078,           0.0085445,           0.0029855,             0.41458,             0.57058,             0.59593,             0.23486,             0.03798,           0.0082633,            0.003971,            0.006625,            0.006625,            0.006625
                  77,            0.030592,           0.0079036,           0.0022067,             0.41257,             0.53384,              0.4669,             0.19455,             0.03932,           0.0078887,           0.0071896,             0.00658,             0.00658,             0.00658
                  78,            0.030062,            0.007741,           0.0025777,             0.48471,             0.45368,             0.51972,             0.17004,             0.03978,           0.0086393,           0.0054761,            0.006535,            0.006535,            0.006535
                  79,             0.03049,           0.0078427,           0.0024414,             0.67487,             0.66691,             0.64061,             0.26464,            0.036965,           0.0086957,           0.0028662,             0.00649,             0.00649,             0.00649
                  80,            0.029041,           0.0079309,           0.0022641,             0.49322,              0.4046,             0.46614,             0.16463,            0.044694,           0.0084993,           0.0059678,            0.006445,            0.006445,            0.006445
                  81,             0.02842,           0.0077621,           0.0023242,             0.55892,             0.55175,             0.56149,             0.20734,            0.038301,           0.0085515,           0.0051495,              0.0064,              0.0064,              0.0064
                  82,            0.028632,            0.007824,           0.0018637,             0.67907,             0.64572,             0.62179,             0.26712,            0.037986,           0.0087663,           0.0033333,            0.006355,            0.006355,            0.006355
                  83,            0.028283,           0.0075465,           0.0021554,             0.82071,             0.29167,             0.48559,             0.19113,             0.04163,           0.0093808,           0.0044072,             0.00631,             0.00631,             0.00631
                  84,            0.028334,           0.0075351,           0.0018724,             0.55563,             0.56278,             0.56207,             0.23932,            0.042375,           0.0090077,           0.0062445,            0.006265,            0.006265,            0.006265
                  85,            0.028217,           0.0078642,           0.0022695,             0.53942,             0.52759,             0.57851,             0.21202,            0.040002,           0.0083749,            0.015855,             0.00622,             0.00622,             0.00622
                  86,            0.028596,           0.0076324,           0.0022893,              0.5533,             0.64898,             0.64929,             0.26717,            0.036617,           0.0081171,           0.0059078,            0.006175,            0.006175,            0.006175
                  87,            0.028107,           0.0073325,           0.0021897,             0.43064,             0.54315,             0.54908,             0.19289,            0.042916,           0.0084856,            0.010005,             0.00613,             0.00613,             0.00613
                  88,            0.028141,           0.0075384,           0.0021486,             0.62752,             0.44672,             0.52582,             0.22051,             0.03946,           0.0097252,           0.0064263,            0.006085,            0.006085,            0.006085
                  89,            0.027977,           0.0076953,           0.0023325,             0.63364,             0.48768,             0.52925,             0.23186,            0.038602,           0.0093272,           0.0074035,             0.00604,             0.00604,             0.00604
                  90,            0.028361,           0.0077282,           0.0020619,             0.52341,             0.52829,             0.52606,             0.20493,            0.041071,           0.0087991,           0.0059469,            0.005995,            0.005995,            0.005995
                  91,            0.027599,           0.0075355,           0.0021487,             0.48484,             0.44218,             0.50928,             0.19274,            0.038396,           0.0097712,           0.0084566,             0.00595,             0.00595,             0.00595
                  92,             0.02754,           0.0071802,            0.002049,              0.5409,             0.52744,             0.56053,             0.23185,            0.039725,           0.0093258,           0.0035919,            0.005905,            0.005905,            0.005905
                  93,            0.027398,            0.007512,           0.0022152,              0.6108,              0.5714,             0.57547,             0.24781,            0.039342,           0.0092616,           0.0032455,             0.00586,             0.00586,             0.00586
