               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1056,             0.02017,            0.026556,           0.0012115,             0.50833,           0.0092715,           0.0024837,            0.065809,            0.016897,            0.016493,           0.0033067,           0.0033067,             0.07024
                   1,             0.10295,            0.019876,             0.02627,           0.0046213,             0.19992,           0.0037732,           0.0011213,            0.072174,            0.024016,            0.020206,           0.0066101,           0.0066101,             0.04021
                   2,            0.097118,            0.020158,            0.026113,          0.00038039,             0.11918,          0.00019528,          4.5177e-05,            0.083076,             0.68306,            0.086801,           0.0098836,           0.0098836,             0.01015
                   3,            0.090084,            0.020648,             0.02476,          0.00096026,            0.062182,           0.0011517,          0.00037628,            0.064621,            0.036208,             0.04488,            0.009865,            0.009865,            0.009865
                   4,            0.085253,            0.020289,            0.023633,             0.25481,             0.21324,            0.014396,           0.0045914,            0.043321,            0.017206,            0.016528,            0.009865,            0.009865,            0.009865
                   5,            0.080753,            0.019568,              0.0225,           0.0016469,             0.63219,           0.0029928,          0.00057127,            0.049181,            0.014701,             0.01426,             0.00982,             0.00982,             0.00982
                   6,            0.075415,            0.019907,            0.021263,           0.0020035,             0.80833,            0.011451,           0.0031851,            0.045968,            0.015527,            0.014962,            0.009775,            0.009775,            0.009775
                   7,            0.074287,            0.019213,            0.020819,            0.059511,              0.4777,             0.10592,            0.040471,            0.041621,            0.015093,            0.013603,             0.00973,             0.00973,             0.00973
                   8,             0.07039,            0.018754,            0.020091,            0.064456,             0.05647,            0.080571,            0.034098,             0.03904,            0.014435,            0.012491,            0.009685,            0.009685,            0.009685
                   9,             0.06858,            0.018445,            0.019603,             0.28331,              0.0625,            0.071783,            0.019267,            0.040006,            0.013096,             0.01216,             0.00964,             0.00964,             0.00964
                  10,            0.065216,            0.018054,            0.018579,             0.24085,             0.19026,             0.21939,            0.049738,            0.036669,            0.013141,            0.011522,            0.009595,            0.009595,            0.009595
                  11,            0.064272,            0.017319,            0.017912,             0.86595,              0.1125,              0.1742,            0.048371,             0.03608,            0.012415,            0.010413,             0.00955,             0.00955,             0.00955
                  12,            0.061935,            0.016086,            0.017093,             0.21421,               0.371,             0.25483,             0.10408,            0.038661,            0.013221,            0.010461,            0.009505,            0.009505,            0.009505
                  13,             0.06125,             0.01617,            0.016087,             0.33504,             0.12342,              0.1116,            0.033135,            0.038295,            0.011568,           0.0098209,             0.00946,             0.00946,             0.00946
                  14,            0.060177,            0.015664,            0.016075,             0.88692,            0.095833,             0.12964,            0.035765,            0.040001,            0.011473,            0.010107,            0.009415,            0.009415,            0.009415
                  15,            0.058858,            0.015124,            0.014687,             0.33563,             0.37568,             0.33801,              0.1265,            0.037586,            0.010621,           0.0088238,             0.00937,             0.00937,             0.00937
                  16,            0.057908,            0.014607,            0.013869,             0.33436,             0.33255,             0.31195,             0.14265,            0.036797,            0.010643,            0.010323,            0.009325,            0.009325,            0.009325
                  17,            0.057225,            0.014229,            0.012906,             0.31659,             0.33827,             0.31907,            0.086034,            0.040503,            0.010242,           0.0089246,             0.00928,             0.00928,             0.00928
                  18,            0.055162,            0.014341,            0.011765,             0.27404,             0.53419,             0.32537,             0.14267,            0.036649,            0.011184,           0.0095872,            0.009235,            0.009235,            0.009235
                  19,            0.052654,            0.014033,            0.010835,             0.10446,             0.21857,             0.16788,            0.047363,            0.033781,            0.010148,           0.0092342,             0.00919,             0.00919,             0.00919
                  20,            0.054816,            0.013708,            0.011035,              0.5393,             0.17185,             0.19133,            0.050484,            0.036657,            0.010165,           0.0087007,            0.009145,            0.009145,            0.009145
                  21,            0.053211,             0.01335,            0.009896,             0.13505,             0.41106,             0.22544,            0.059287,            0.041045,           0.0098483,           0.0086602,              0.0091,              0.0091,              0.0091
                  22,            0.051597,            0.013043,            0.009046,             0.47221,             0.24491,             0.25901,            0.076217,            0.036557,           0.0095019,           0.0080612,            0.009055,            0.009055,            0.009055
                  23,            0.051577,            0.012865,           0.0081973,             0.40284,             0.53671,              0.3951,             0.12592,            0.031789,            0.009886,           0.0063207,             0.00901,             0.00901,             0.00901
                  24,            0.051109,            0.012786,           0.0084542,             0.55165,             0.17083,             0.18802,            0.057509,            0.039145,            0.011578,           0.0069793,            0.008965,            0.008965,            0.008965
                  25,            0.049467,            0.012638,           0.0079391,             0.29557,             0.58979,             0.37564,             0.11087,            0.034056,           0.0092922,           0.0054607,             0.00892,             0.00892,             0.00892
                  26,             0.04907,            0.012144,           0.0070833,             0.33302,             0.52525,             0.42572,              0.1708,            0.036324,           0.0086821,           0.0077793,            0.008875,            0.008875,            0.008875
                  27,            0.049961,            0.012042,           0.0074088,             0.70263,              0.1625,             0.20831,            0.057403,            0.034727,            0.008889,           0.0053564,             0.00883,             0.00883,             0.00883
                  28,            0.048829,            0.011952,           0.0067484,             0.53471,             0.34858,             0.29862,             0.10506,            0.035269,            0.008821,           0.0063249,            0.008785,            0.008785,            0.008785
                  29,            0.048568,            0.011957,           0.0063263,             0.15034,             0.34699,             0.25021,            0.087692,            0.033532,            0.009707,           0.0077938,             0.00874,             0.00874,             0.00874
                  30,            0.046045,            0.011423,           0.0058579,             0.47624,             0.19437,             0.31249,             0.10109,             0.03469,           0.0085562,           0.0080189,            0.008695,            0.008695,            0.008695
                  31,            0.046176,            0.011837,           0.0058513,              0.4748,             0.22601,             0.28456,            0.079297,            0.037566,           0.0086775,            0.005173,             0.00865,             0.00865,             0.00865
                  32,            0.045643,            0.011405,           0.0057273,             0.55681,             0.51773,              0.4959,             0.19118,             0.03449,           0.0086387,           0.0059172,            0.008605,            0.008605,            0.008605
                  33,            0.045226,            0.011622,           0.0056006,             0.38509,             0.54146,             0.51156,             0.19762,            0.035675,           0.0089416,           0.0065189,             0.00856,             0.00856,             0.00856
                  34,            0.045281,            0.011452,           0.0054594,             0.86201,             0.22917,              0.5058,             0.19339,             0.03109,           0.0085432,           0.0065692,            0.008515,            0.008515,            0.008515
                  35,            0.043543,            0.011409,            0.004993,             0.31229,             0.42072,             0.41063,             0.15905,             0.03019,           0.0085685,            0.009061,             0.00847,             0.00847,             0.00847
                  36,            0.043376,            0.010869,           0.0052094,             0.30222,             0.37994,             0.40821,             0.13977,            0.032559,           0.0085492,           0.0079237,            0.008425,            0.008425,            0.008425
                  37,            0.043622,            0.011085,           0.0050823,             0.78118,               0.225,              0.4503,             0.19237,            0.032076,            0.008596,           0.0075136,             0.00838,             0.00838,             0.00838
