               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095557,            0.019121,             0.02516,           0.0070687,             0.48529,            0.012502,           0.0062314,                 nan,                 nan,                 nan,           0.0032804,           0.0032804,            0.070476
                   1,            0.083376,            0.014849,            0.022765,           0.0013747,            0.094363,           0.0007979,           0.0001423,                 nan,                 nan,             0.54518,            0.006584,            0.006584,            0.040446
                   2,              0.0808,            0.014692,            0.022168,             0.25278,              0.4215,           0.0034115,          0.00088206,            0.056025,            0.028757,            0.020114,           0.0098576,           0.0098576,            0.010387
                   3,            0.077734,            0.015292,            0.021272,           0.0013679,             0.68946,           0.0026081,           0.0007176,            0.056999,            0.021797,            0.015038,            0.009865,            0.009865,            0.009865
                   4,            0.075906,            0.015211,            0.020675,           0.0015745,             0.58766,           0.0033767,          0.00062348,            0.056616,            0.013307,            0.013327,            0.009865,            0.009865,            0.009865
                   5,            0.073978,            0.014934,            0.020405,            0.001905,             0.76565,            0.013573,           0.0028475,            0.045067,             0.01334,            0.014932,             0.00982,             0.00982,             0.00982
                   6,            0.072509,             0.01546,            0.019973,           0.0022862,             0.73908,             0.02152,           0.0034855,            0.049359,             0.01185,             0.01349,            0.009775,            0.009775,            0.009775
                   7,            0.071311,            0.015014,            0.019636,          0.00066686,             0.14897,           0.0011751,          0.00022944,            0.060666,             0.00878,            0.013363,             0.00973,             0.00973,             0.00973
                   8,            0.069495,            0.014801,             0.01937,             0.25138,             0.14964,           0.0016108,          0.00024513,            0.054193,            0.010353,            0.020097,            0.009685,            0.009685,            0.009685
                   9,            0.068295,            0.014962,            0.019121,             0.07644,             0.11644,             0.12217,            0.034921,            0.045053,            0.013504,            0.010979,             0.00964,             0.00964,             0.00964
                  10,            0.065168,            0.015099,            0.017972,            0.014319,            0.055776,            0.055419,            0.026176,             0.04981,            0.011725,            0.011356,            0.009595,            0.009595,            0.009595
                  11,            0.062962,             0.01461,            0.017632,            0.022507,             0.15003,            0.042355,            0.016376,             0.04448,            0.011345,            0.011307,             0.00955,             0.00955,             0.00955
                  12,            0.061558,            0.013577,            0.017153,            0.029168,             0.12405,            0.021613,           0.0042871,            0.055821,            0.010719,            0.010959,            0.009505,            0.009505,            0.009505
                  13,            0.062565,             0.01408,            0.016362,           0.0076019,             0.03018,           0.0064411,           0.0027251,            0.058595,              0.0112,            0.016335,             0.00946,             0.00946,             0.00946
                  14,            0.061939,            0.013861,            0.016475,             0.27417,            0.055842,            0.027004,           0.0083945,            0.049177,            0.010801,             0.01204,            0.009415,            0.009415,            0.009415
                  15,            0.060073,            0.013774,            0.015449,             0.38384,             0.51779,             0.11446,            0.042018,            0.037193,           0.0099375,            0.011293,             0.00937,             0.00937,             0.00937
                  16,               0.059,            0.013244,            0.015025,             0.56071,               0.025,            0.019519,           0.0053305,            0.053608,           0.0095623,            0.014924,            0.009325,            0.009325,            0.009325
                  17,            0.059585,            0.013376,             0.01409,             0.82033,            0.079167,            0.055637,            0.014818,            0.049359,            0.011796,            0.013829,             0.00928,             0.00928,             0.00928
                  18,            0.056669,            0.013551,            0.013083,            0.084234,             0.14527,            0.094929,            0.022969,            0.041201,            0.010745,            0.010665,            0.009235,            0.009235,            0.009235
                  19,            0.056279,            0.013305,            0.012791,             0.21644,              0.3732,            0.094953,            0.046879,            0.046424,           0.0097061,            0.025123,             0.00919,             0.00919,             0.00919
                  20,            0.055745,            0.013253,            0.012584,             0.12112,             0.23174,             0.13444,            0.045375,            0.043652,           0.0099993,            0.013024,            0.009145,            0.009145,            0.009145
                  21,            0.054265,            0.012905,            0.011264,             0.82837,                 0.1,            0.087554,            0.027066,            0.042042,            0.010704,            0.013413,              0.0091,              0.0091,              0.0091
                  22,            0.053606,            0.013024,            0.010563,             0.36622,              0.1857,            0.086144,            0.023701,            0.046099,           0.0098025,            0.011611,            0.009055,            0.009055,            0.009055
                  23,            0.053039,             0.01265,             0.01042,             0.37176,             0.14076,             0.21555,            0.058802,            0.040194,           0.0087102,            0.015696,             0.00901,             0.00901,             0.00901
                  24,            0.054347,            0.012688,            0.010639,            0.078156,              0.2545,             0.13338,            0.041032,            0.042897,           0.0095982,           0.0087207,            0.008965,            0.008965,            0.008965
                  25,            0.052695,            0.012914,             0.01091,             0.13528,             0.35552,             0.10692,            0.050095,            0.054215,            0.010402,            0.020942,             0.00892,             0.00892,             0.00892
                  26,            0.050787,            0.011981,           0.0088229,             0.37516,              0.3434,             0.10806,            0.039782,            0.050807,            0.009592,            0.026015,            0.008875,            0.008875,            0.008875
                  27,             0.05253,            0.011814,           0.0091706,             0.10586,             0.21171,             0.10848,            0.039012,            0.048208,           0.0091922,            0.012812,             0.00883,             0.00883,             0.00883
                  28,            0.051438,            0.011962,           0.0083926,             0.16413,             0.23671,             0.12435,            0.037184,            0.045345,           0.0086228,            0.010176,            0.008785,            0.008785,            0.008785
                  29,            0.051532,             0.01234,           0.0081722,             0.54404,             0.24364,             0.20831,             0.13364,            0.050718,           0.0077719,            0.027614,             0.00874,             0.00874,             0.00874
                  30,            0.049958,            0.011579,           0.0080538,             0.14837,             0.48844,              0.2674,             0.11796,            0.038806,           0.0099206,            0.010554,            0.008695,            0.008695,            0.008695
                  31,            0.049799,            0.012482,           0.0081631,             0.22325,             0.10676,            0.086876,            0.022882,            0.045068,           0.0092081,            0.009917,             0.00865,             0.00865,             0.00865
                  32,            0.049209,            0.011689,           0.0076988,             0.68158,             0.12917,             0.13288,            0.035219,            0.044515,            0.009468,            0.015566,            0.008605,            0.008605,            0.008605
                  33,            0.048669,             0.01184,           0.0075594,             0.30512,             0.42971,             0.23164,            0.079926,            0.043315,           0.0091308,            0.013053,             0.00856,             0.00856,             0.00856
                  34,            0.048904,            0.011935,           0.0069751,             0.37673,             0.10177,            0.092013,            0.022769,            0.046209,           0.0095278,            0.010919,            0.008515,            0.008515,            0.008515
                  35,            0.046483,            0.011941,           0.0066603,             0.43643,             0.16509,             0.18863,            0.058673,            0.037968,            0.010061,           0.0098723,             0.00847,             0.00847,             0.00847
                  36,            0.046227,            0.011059,           0.0064097,            0.082695,             0.16543,            0.056296,            0.012956,            0.043593,            0.010172,             0.01344,            0.008425,            0.008425,            0.008425
                  37,            0.046282,            0.011684,           0.0071643,             0.21252,              0.2143,             0.12304,            0.036949,            0.042515,           0.0084167,            0.018269,             0.00838,             0.00838,             0.00838
                  38,            0.044712,            0.010956,           0.0059175,             0.26617,             0.53223,             0.28043,             0.10221,            0.036501,           0.0087296,            0.010818,            0.008335,            0.008335,            0.008335
                  39,            0.045806,            0.010859,           0.0060296,             0.37749,              0.1125,             0.08998,            0.023317,            0.051897,            0.010968,            0.013103,             0.00829,             0.00829,             0.00829
                  40,            0.045879,             0.01107,            0.005604,             0.49198,             0.16667,             0.19897,             0.05771,            0.038534,           0.0089371,            0.007806,            0.008245,            0.008245,            0.008245
                  41,            0.045444,            0.011164,            0.005583,             0.21909,             0.42157,             0.24285,             0.08933,            0.039719,           0.0079512,           0.0080675,              0.0082,              0.0082,              0.0082
                  42,            0.042859,            0.010538,            0.004923,              0.2265,             0.36679,             0.22884,            0.094825,            0.037269,           0.0080483,             0.01146,            0.008155,            0.008155,            0.008155
