               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10461,            0.020258,            0.026362,            0.001302,             0.51667,            0.007013,           0.0018734,            0.070441,            0.016901,             0.01758,           0.0032804,           0.0032804,            0.070476
                   1,             0.10089,            0.020232,            0.026291,           0.0011699,            0.052206,           0.0013657,          0.00031964,            0.078475,             0.13202,            0.032835,            0.006584,            0.006584,            0.040446
                   2,            0.091121,            0.021057,             0.02548,            0.013465,              0.0125,           0.0096968,           0.0020194,            0.071728,            0.039507,            0.030841,           0.0098576,           0.0098576,            0.010387
                   3,            0.082864,             0.02135,             0.02391,           0.0024729,            0.058578,           0.0015822,          0.00029312,             0.05652,            0.024803,            0.022406,            0.009865,            0.009865,            0.009865
                   4,            0.077565,            0.021089,            0.022394,             0.57036,            0.055843,            0.046334,            0.009263,            0.055703,            0.014739,            0.019526,            0.009865,            0.009865,            0.009865
                   5,            0.072235,            0.020131,            0.021197,             0.08028,            0.059797,            0.051515,            0.010151,            0.050391,            0.016912,            0.014706,             0.00982,             0.00982,             0.00982
                   6,            0.068581,            0.020155,            0.020396,            0.076708,             0.32205,            0.088987,            0.032091,            0.040362,            0.013895,            0.014035,            0.009775,            0.009775,            0.009775
                   7,            0.065482,            0.018995,            0.019674,             0.54236,            0.041667,            0.033046,           0.0065211,            0.047343,            0.013888,            0.013526,             0.00973,             0.00973,             0.00973
                   8,            0.063148,             0.01791,              0.0193,             0.17566,             0.25263,             0.23293,            0.088061,            0.044019,            0.011636,             0.01333,            0.009685,            0.009685,            0.009685
                   9,            0.061257,            0.017191,            0.018574,             0.24924,             0.38219,              0.2148,             0.10355,            0.040662,            0.010767,            0.012597,             0.00964,             0.00964,             0.00964
                  10,            0.057992,            0.016545,            0.017801,             0.19584,             0.25856,             0.24508,            0.064865,            0.036759,            0.010987,            0.013513,            0.009595,            0.009595,            0.009595
                  11,             0.05721,            0.015467,             0.01719,             0.10802,             0.13592,              0.1292,            0.039006,            0.038278,            0.010629,            0.012933,             0.00955,             0.00955,             0.00955
                  12,            0.056558,             0.01439,            0.016818,              0.8906,              0.1125,             0.14736,            0.046839,            0.037264,            0.011107,            0.012883,            0.009505,            0.009505,            0.009505
                  13,            0.055317,            0.014207,            0.015932,              0.1565,             0.37817,              0.2013,            0.040948,            0.039785,            0.009349,            0.012956,             0.00946,             0.00946,             0.00946
                  14,            0.054488,            0.013521,            0.015869,             0.49229,              0.2518,               0.247,            0.054013,            0.044636,           0.0096709,            0.011883,            0.009415,            0.009415,            0.009415
                  15,            0.050887,            0.013208,            0.014581,            0.079783,             0.34178,              0.2135,            0.054827,            0.042808,            0.010058,            0.012741,             0.00937,             0.00937,             0.00937
                  16,            0.051427,             0.01254,            0.014117,             0.16232,              0.2036,             0.17438,            0.051437,            0.039308,           0.0089989,            0.012258,            0.009325,            0.009325,            0.009325
                  17,            0.051755,            0.012483,            0.013088,             0.16884,             0.30105,             0.19261,            0.077602,            0.039483,              0.0098,            0.010728,             0.00928,             0.00928,             0.00928
                  18,            0.047396,             0.01251,            0.011747,             0.17348,             0.51589,             0.24351,            0.064167,            0.038223,             0.01008,             0.01026,            0.009235,            0.009235,            0.009235
                  19,            0.047488,            0.012153,            0.010881,             0.52309,             0.34759,             0.44259,             0.18329,            0.040302,           0.0087781,           0.0087421,             0.00919,             0.00919,             0.00919
                  20,             0.04896,            0.011967,            0.010429,             0.71698,             0.17344,             0.19368,            0.053961,            0.038762,            0.010231,           0.0088214,            0.009145,            0.009145,            0.009145
