               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
0,0.10452,0.020275,0.026369,0.151164,0.0012896,0.5125,0.0040915,0.0012416,0.070428,0.016901,0.017582,0.0032804,0.0032804,0.070476
1,0.1016,0.020156,0.02622,0.147976,0.00068889,0.37835,0.00075256,0.00021139,0.073641,0.020263,0.018741,0.006584,0.006584,0.040446
2,0.093136,0.020761,0.025684,0.139581,0.00027913,0.080392,0.00017829,4.46E-05,0.079197,0.035195,0.028124,0.0098576,0.0098576,0.010387
3,0.085348,0.021038,0.024357,0.130743,0.023561,0.0125,0.0058253,0.0014169,0.068277,0.016642,0.019299,0.009865,0.009865,0.009865
4,0.07962,0.020889,0.023089,0.123598,0.00032506,0.042925,0.00059596,0.0001865,0.065914,0.015847,0.017971,0.009865,0.009865,0.009865
5,0.075004,0.019881,0.022079,0.116964,0.0022188,0.85056,0.15846,0.048809,0.042949,0.014371,0.014272,0.00982,0.00982,0.00982
6,0.071052,0.019891,0.02129,0.112233,0.0038416,0.0625,0.0059561,0.0013195,0.048367,0.01409,0.014325,0.009775,0.009775,0.009775
7,0.067145,0.018885,0.020383,0.106413,0.036188,0.65,0.098234,0.027702,0.045654,0.012446,0.014034,0.00973,0.00973,0.00973
8,0.065701,0.01783,0.019996,0.103527,0.041585,0.48509,0.07165,0.027719,0.054496,0.012733,0.014455,0.009685,0.009685,0.009685
9,0.061688,0.017435,0.019535,0.098658,0.59084,0.075,0.041214,0.0070075,0.049938,0.013532,0.0132,0.00964,0.00964,0.00964
10,0.058058,0.016933,0.018609,0.0936,0.2668,0.42351,0.2877,0.10285,0.037183,0.011416,0.012479,0.009595,0.009595,0.009595
11,0.057673,0.015894,0.018142,0.091709,0.13456,0.24383,0.174,0.055855,0.04018,0.011995,0.012424,0.00955,0.00955,0.00955
12,0.055892,0.014624,0.017735,0.088251,0.14858,0.29745,0.16288,0.055248,0.043489,0.011094,0.013437,0.009505,0.009505,0.009505
13,0.056012,0.014394,0.016346,0.086752,0.23938,0.3982,0.31233,0.086285,0.043745,0.010064,0.011515,0.00946,0.00946,0.00946
14,0.056198,0.013828,0.015769,0.085795,0.26711,0.38212,0.2811,0.10817,0.035077,0.010366,0.010773,0.009415,0.009415,0.009415
