               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10564,            0.020249,            0.026539,           0.0010246,                 0.5,           0.0035687,          0.00097956,            0.089353,            0.016978,             0.02196,              0.0031,              0.0031,              0.0721
                   1,             0.10286,            0.019975,            0.026328,          0.00019619,             0.25417,          0.00095145,          0.00024971,            0.087316,            0.016777,            0.021931,           0.0062717,           0.0062717,            0.043272
                   2,             0.09681,            0.020295,            0.026055,          0.00062188,             0.16948,          0.00039695,          5.8343e-05,            0.082967,            0.016306,            0.021702,           0.0094145,           0.0094145,            0.014414
                   3,            0.088928,            0.020725,             0.02512,            0.018723,            0.021847,           0.0035245,          0.00074483,            0.074872,            0.017263,            0.040957,            0.009865,            0.009865,            0.009865
                   4,            0.084176,            0.020412,            0.024054,           0.0018025,            0.033784,           0.0019772,          0.00041717,            0.065261,            0.017601,            0.024049,            0.009865,            0.009865,            0.009865
                   5,            0.078037,            0.020382,            0.022981,            0.022818,             0.04388,            0.019979,           0.0056537,            0.055787,            0.015302,            0.019906,             0.00982,             0.00982,             0.00982
                   6,            0.074116,            0.020675,            0.021708,           0.0018053,             0.73523,           0.0037948,          0.00094364,            0.074894,             0.01351,            0.018256,            0.009775,            0.009775,            0.009775
                   7,            0.069656,            0.019574,            0.020952,             0.54021,               0.075,            0.025019,            0.006114,            0.057006,            0.015862,            0.018373,             0.00973,             0.00973,             0.00973
                   8,            0.065841,            0.018941,            0.019809,             0.52929,             0.13333,            0.038181,           0.0079599,            0.055919,            0.014851,            0.016628,            0.009685,            0.009685,            0.009685
                   9,            0.063749,            0.018414,            0.019018,             0.54287,            0.083333,            0.031412,           0.0078352,            0.057785,            0.014287,            0.016035,             0.00964,             0.00964,             0.00964
                  10,            0.061016,            0.018124,            0.018285,             0.04767,            0.079167,            0.052821,            0.015209,             0.05781,            0.012644,            0.017516,            0.009595,            0.009595,            0.009595
                  11,            0.058074,            0.017354,            0.017537,            0.019478,            0.016667,           0.0089844,           0.0018337,            0.069557,            0.011468,            0.017668,             0.00955,             0.00955,             0.00955
                  12,            0.057112,            0.016175,            0.016628,             0.61868,            0.091667,              0.1056,            0.038465,            0.052403,             0.01287,             0.01566,            0.009505,            0.009505,            0.009505
                  13,            0.056914,             0.01614,            0.015444,             0.10284,              0.2506,             0.15829,             0.04881,            0.049462,            0.011679,             0.01477,             0.00946,             0.00946,             0.00946
                  14,            0.054857,            0.015372,            0.014386,             0.45144,             0.23456,             0.23859,            0.095972,            0.047809,            0.012192,            0.014822,            0.009415,            0.009415,            0.009415
                  15,            0.052313,            0.014239,            0.013108,             0.05326,             0.34792,             0.10825,            0.029576,            0.053034,            0.011956,            0.013782,             0.00937,             0.00937,             0.00937
                  16,            0.053829,            0.014296,            0.011587,             0.15792,             0.16914,             0.14254,            0.028059,            0.053288,            0.011498,            0.013049,            0.009325,            0.009325,            0.009325
                  17,            0.051865,            0.013645,             0.01047,             0.43059,             0.17652,             0.20518,            0.076811,            0.052252,            0.010897,            0.015141,             0.00928,             0.00928,             0.00928
                  18,            0.049123,            0.013773,           0.0093945,             0.13762,             0.25002,            0.090248,            0.016321,             0.05527,            0.020146,             0.01776,            0.009235,            0.009235,            0.009235
                  19,            0.048678,            0.012942,           0.0086154,             0.16519,             0.37689,             0.19733,            0.051828,            0.054283,            0.010113,            0.011637,             0.00919,             0.00919,             0.00919
                  20,            0.049893,            0.012856,           0.0079493,             0.33106,             0.28578,             0.33507,            0.075957,            0.060961,            0.010369,            0.011193,            0.009145,            0.009145,            0.009145
                  21,            0.048418,            0.012499,             0.00713,             0.68631,              0.1625,             0.22953,            0.071994,            0.047821,            0.011485,            0.007673,              0.0091,              0.0091,              0.0091
                  22,             0.04737,            0.012453,            0.006761,             0.69847,                0.15,             0.14665,            0.039107,            0.054043,            0.010229,            0.010097,            0.009055,            0.009055,            0.009055
                  23,            0.047186,            0.012157,           0.0065322,             0.32035,             0.40397,             0.42614,             0.15991,            0.047148,            0.010122,           0.0080772,             0.00901,             0.00901,             0.00901
                  24,            0.047303,            0.012703,           0.0062547,            0.093789,             0.32868,             0.17253,            0.054053,            0.060495,            0.012513,            0.016315,            0.008965,            0.008965,            0.008965
                  25,            0.045938,            0.011928,           0.0055678,             0.19204,             0.39556,             0.24133,            0.062369,            0.054256,            0.010656,            0.010139,             0.00892,             0.00892,             0.00892
                  26,            0.045686,            0.011591,           0.0052677,              0.4448,             0.44074,             0.40525,             0.16363,             0.05674,            0.009023,           0.0083984,            0.008875,            0.008875,            0.008875
                  27,            0.044658,            0.011148,           0.0055008,             0.26345,             0.45788,             0.36459,             0.12791,            0.049981,            0.009409,           0.0085332,             0.00883,             0.00883,             0.00883
                  28,            0.043267,             0.01137,           0.0048457,             0.19076,             0.32735,             0.21512,            0.062283,            0.051902,           0.0093579,           0.0083821,            0.008785,            0.008785,            0.008785
                  29,            0.042724,            0.011035,           0.0049624,              0.3697,              0.3402,               0.357,             0.11026,            0.051686,           0.0096094,           0.0087668,             0.00874,             0.00874,             0.00874
                  30,            0.041402,            0.011411,            0.004559,             0.20001,             0.40164,             0.26839,            0.071312,            0.053155,            0.010771,            0.011405,            0.008695,            0.008695,            0.008695
                  31,            0.042707,            0.010816,           0.0045596,             0.78375,             0.14858,             0.16485,            0.050064,            0.049671,           0.0099468,            0.012569,             0.00865,             0.00865,             0.00865
                  32,            0.041762,            0.011102,           0.0045033,             0.37074,             0.65039,             0.55387,             0.18709,            0.049304,           0.0091981,           0.0065594,            0.008605,            0.008605,            0.008605
                  33,            0.040515,            0.010846,           0.0043793,             0.40028,             0.58343,             0.51054,             0.18827,            0.045788,           0.0090199,            0.011004,             0.00856,             0.00856,             0.00856
                  34,            0.040492,            0.010641,           0.0041647,             0.71227,             0.50392,             0.47976,             0.15835,            0.048099,           0.0084135,           0.0052243,            0.008515,            0.008515,            0.008515
                  35,            0.041116,            0.010449,           0.0043785,             0.77626,               0.175,              0.2054,            0.060082,            0.051825,           0.0091778,            0.008875,             0.00847,             0.00847,             0.00847
                  36,            0.040439,            0.010659,           0.0038184,              0.5218,             0.53155,             0.53098,             0.21085,            0.048889,           0.0086949,           0.0070962,            0.008425,            0.008425,            0.008425
                  37,            0.036932,            0.010184,           0.0035757,             0.42756,             0.32064,             0.39071,             0.14859,            0.055911,           0.0084327,           0.0076003,             0.00838,             0.00838,             0.00838
                  38,            0.039036,           0.0099779,           0.0039185,             0.38011,             0.34429,              0.4591,             0.18009,            0.044525,           0.0092364,           0.0076801,            0.008335,            0.008335,            0.008335
                  39,            0.038092,            0.009843,           0.0034215,             0.31403,             0.57758,             0.37967,             0.11332,            0.048121,           0.0092085,            0.011077,             0.00829,             0.00829,             0.00829
                  40,            0.038167,            0.010116,           0.0037288,             0.58365,              0.7038,              0.6077,             0.22212,            0.044318,           0.0082266,            0.005098,            0.008245,            0.008245,            0.008245
